,x,y
0,648,568
1,648,568
2,644,552
3,648,568
4,648,560
5,648,560
6,648,568
7,640,556
8,648,568
9,648,568
10,652,360
11,652,568
12,36,396
13,684,112
14,656,572
15,648,568
16,660,568
17,656,568
18,652,572
19,648,568
20,656,568
21,648,568
22,36,396
23,648,568
24,36,400
25,664,336
26,36,400
27,680,108
28,648,568
29,648,568
30,648,568
31,648,568
32,648,568
33,688,112
34,656,568
35,656,568
36,648,568
37,648,572
38,648,568
39,648,568
40,648,572
41,648,568
42,20,404
43,648,568
44,648,568
45,648,568
46,648,568
47,648,568
48,648,568
49,648,568
50,656,568
51,648,568
52,656,568
53,648,568
54,648,568
55,656,568
56,648,568
57,648,568
58,648,568
59,648,552
60,648,568
61,648,568
62,648,568
63,648,568
64,648,560
65,648,552
66,648,568
67,684,108
68,128,0
69,648,560
70,656,560
71,656,560
72,656,568
73,684,112
74,620,500
75,656,572
76,680,356
77,648,568
78,428,232
79,656,568
80,660,568
81,656,568
82,660,568
83,656,568
84,656,568
85,656,568
86,656,568
87,656,568
88,656,568
89,656,568
90,664,568
91,656,568
92,656,568
93,656,568
94,656,568
95,656,568
96,668,572
97,656,568
98,656,572
99,656,568
100,656,568
101,656,568
102,656,560
103,464,236
104,656,560
105,460,252
106,464,256
107,464,248
108,464,248
109,472,256
110,460,248
111,464,248
112,472,252
113,464,264
114,468,244
115,464,260
116,472,252
117,468,260
118,460,252
119,468,268
120,484,264
121,468,260
122,468,260
123,468,268
124,460,272
125,468,260
126,452,276
127,460,264
128,460,276
129,460,268
130,492,256
131,496,248
132,484,256
133,496,248
134,532,244
135,544,244
136,532,244
137,580,252
138,568,252
139,620,256
140,660,264
141,696,272
142,596,256
143,712,336
144,688,360
145,648,376
146,564,384
147,448,388
148,300,384
149,152,368
150,48,356
151,72,316
152,60,252
153,40,244
154,44,244
155,160,224
156,196,244
157,4,488
158,236,212
159,256,212
160,288,216
161,304,216
162,328,220
163,340,228
164,348,224
165,328,220
166,300,568
167,332,248
168,340,236
169,336,240
170,568,4
171,416,568
172,332,256
173,420,568
174,428,572
175,336,276
176,204,520
177,200,516
178,344,272
179,200,528
180,204,524
181,332,276
182,208,536
183,200,536
184,316,280
185,212,520
186,316,280
187,212,516
188,208,524
189,152,4
190,144,4
191,148,4
192,212,512
193,220,496
194,204,516
195,212,520
196,216,536
197,616,52
198,204,532
199,204,512
200,208,504
201,208,512
202,216,520
203,208,520
204,208,516
205,224,500
206,208,516
207,204,524
208,212,520
209,160,0
210,216,516
211,224,504
212,216,520
213,216,532
214,212,516
215,212,512
216,208,528
217,232,480
218,216,504
219,216,516
220,208,524
221,212,520
222,204,520
223,212,520
224,228,504
225,220,504
226,216,516
227,236,484
228,212,516
229,208,524
230,400,528
231,212,516
232,216,512
233,220,524
234,216,512
235,224,516
236,224,512
237,212,520
238,216,516
239,216,512
240,228,492
241,224,532
242,220,516
243,212,532
244,216,532
245,220,520
246,208,520
247,236,496
248,216,520
249,4,4
250,212,528
251,4,4
252,216,520
253,216,532
254,612,4
255,216,516
256,220,496
257,208,520
258,220,520
259,216,536
260,232,508
261,4,4
262,0,4
263,0,4
264,4,4
265,228,512
266,4,0
267,152,4
268,152,4
269,164,4
270,236,492
271,220,520
272,152,0
273,220,516
274,156,4
275,224,516
276,0,4
277,4,4
278,4,0
279,152,4
280,4,0
281,152,4
282,152,4
283,0,4
284,0,4
285,4,4
286,0,4
287,224,500
288,4,4
289,0,0
290,0,4
291,0,12
292,4,4
293,0,4
294,0,4
295,0,4
296,0,4
297,4,4
298,0,4
